Apple, AAPL, 162.44, 161.91, 165,
Fabletics
Lululemon, LULU, 360.05, 357.73, 364.49,
Tesla, TSLA, 197.53, 197.20, 207.79,
Disney, DIS, 98.89, 98.50, 100.20
Microsoft
Riot Games
Spotify
